village_id|postalcodes
GOLOSALVO;02|02253
HELLÍN;02|02400,02409,02420,02490,02498,02499
LA HERRERA;02|02162
HIGUERUELA;02|02690,02694
HOYA-GONZALO;02|02696
JORQUERA;02|02248,02249
LETUR;02|02434
LEZUZA;02|02160,02161
LIÉTOR;02|02124,02142,02410
MADRIGUERAS;02|02230
MAHORA;02|02240
MASEGOSO;02|02314
MINAYA;02|02620
MOLINICOS;02|02440,02448,02449
MONTALVOS;02|02638
MONTEALEGRE DEL CASTILLO;02|02650
MOTILLEJA;02|02220
MUNERA;02|02612
NAVAS DE JORQUERA;02|02246
NERPIO;02|02530,02534,02535,02536,02537,02538,02539
ONTUR;02|02652
OSSA DE MONTIEL;02|02611
PATERNA DEL MADERA;02|02136,02137,02138,02459
PEÑASCOSA;02|02138,02313,02314,02013
PEÑAS DE SAN PEDRO;02|02120,02127,02128
PÉTROLA;02|02692
POVEDILLA;02|02311
POZOHONDO;02|02129,02141,02142
POZO-LORENTE;02|02154
POZUELO;02|02327
LA RECUEJA;02|02249
RIÓPAR;02|02450,02459,02462
ROBLEDO;02|02331,02332,02340
LA RODA;02|02630,02639
SALOBRE;02|02316
SAN PEDRO;02|02326
SOCOVOS;02|02435,02437
TARAZONA DE LA MANCHA;02|02100,02110
TOBARRA;02|02500,02513,02514
VALDEGANGA;02|02150
VIANOS;02|02315
VILLA DE VES;02|02213
VILLALGORDO DEL JÚCAR;02|02636
VILLAMALEA;02|02270
VILLAPALACIOS;02|02350
VILLARROBLEDO;02|02600,02612,02660
VILLATOYA;02|02215
VILLAVALIENTE;02|02154
VILLAVERDE DE GUADALIMAR;02|02460,02462
VIVEROS;02|02310
YESTE;02|02480,02482,02484,02485,02486,02487,02488,02489
POZO CAÑADA;02|02099,02510
L'ATZÚBIA;03|03786
AGOST;03|03698
AGRES;03|03837
AIGÜES;03|03569
ALBATERA;03|03340
ALCALALÍ;03|03723,03728
ALCOCER DE PLANES;03|03841
ALCOLEJA;03|03814
ALCOY/ALCOI;03|03800,03801,03802,03803,03804,03818
ALFAFARA;03|03838
L'ALFÀS DEL PI;03|03580,03581
ALGORFA;03|03169
ALGUEÑA;03|03668
ALICANTE/ALACANT;03|03001,03002,03003,03004,03005,03006,03007,03008,03009,03010,03011,03012,03013,03014,03015,03016,03112,03113,03114,03115,03138,03409,03540,03559,03699,03550
ALMORADÍ;03|03160,03179
ALMUDAINA;03|03827
L'ALQUERIA D'ASNAR;03|03829
ALTEA;03|03590,03599
ASPE;03|03680
BALONES;03|03812
BANYERES DE MARIOLA;03|03450
BENASAU;03|03814
BENEIXAMA;03|03460,03469
BENEJÚZAR;03|03390
BENFERRI;03|03316
BENIARBEIG;03|03778
BENIARDÁ;03|03517
BENIARRÉS;03|03850
BENIGEMBLA;03|03794
BENIDOLEIG;03|03759
BENIDORM;03|03501,03502,03503
BENIFALLIM;03|03816
BENIFATO;03|03517
BENIJÓFAR;03|03178
BENILLOBA;03|03810
BENILLUP;03|03827
BENIMANTELL;03|03516
BENIMARFULL;03|03827
BENIMASSOT;03|03812
BENIMELI;03|03769
BENISSA;03|03720
BENITACHELL/EL POBLE NOU DE BENITATXELL;03|03726
BIAR;03|03410
BIGASTRO;03|03380
BOLULLA;03|03518
BUSOT;03|03111
CALP;03|03710
CALLOSA D'EN SARRIÀ;03|03510
CALLOSA DE SEGURA;03|03317,03360
EL CAMPELLO;03|03560
CAMPO DE MIRRA/EL CAMP DE MIRRA;03|03469
CAÑADA;03|03409
CASTALLA;03|03420
CASTELL DE CASTELLS;03|03793
CATRAL;03|03158
COCENTAINA;03|03820,03829
CONFRIDES;03|03517
COX;03|03350
CREVILLENT;03|03158,03330,03339
QUATRETONDETA;03|03811
DAYA NUEVA;03|03159
DAYA VIEJA;03|03177
DÉNIA;03|03700,03709,03749,03770,03780
DOLORES;03|03150
ELCHE/ELX;03|03139,03194,03195,03201,03202,03203,03204,03205,03206,03207,03208,03290,03291,03292,03293,03294,03295,03296,03320
ELDA;03|03600
FACHECA;03|03813
FAMORCA;03|03813
FINESTRAT;03|03509
FORMENTERA DEL SEGURA;03|03177,03179
GATA DE GORGOS;03|03740
GAIANES;03|03840
GORGA;03|03811
GRANJA DE ROCAMORA;03|03348
EL CASTELL DE GUADALEST;03|03517
GUARDAMAR DEL SEGURA;03|03140
EL FONDÓ DE LES NEUS/HONDÓN DE LAS NIEVES;03|03688,03689
HONDÓN DE LOS FRAILES;03|03689
IBI;03|03440
JACARILLA;03|03310
XALÓ;03|03727
JÁVEA/XÀBIA;03|03730,03737,03738,03739
JIJONA/XIXONA;03|03100
LORCHA/L'ORXA;03|03860
LLÍBER;03|03729
MILLENA;03|03812
MONFORTE DEL CID;03|03670,03679
MONÓVAR/MONÒVER;03|03640,03649
MUTXAMEL;03|03110
MURLA;03|03792
MURO DE ALCOY;03|03830,03839
NOVELDA;03|03660
LA NUCIA;03|03530
ONDARA;03|03760
ONIL;03|03430
ORBA;03|03790,03791,03792,03795
ORXETA;03|03579
ORIHUELA;03|03189,03191,03192,03300,03310,03311,03312,03313,03314,03315,03316,03369,03689
PARCENT;03|03792
PEDREGUER;03|03750
PEGO;03|03780
PENÀGUILA;03|03815
PETRER;03|03610
EL PINÓS/PINOSO;03|03650,03657,03658,03659
PLANES;03|03828
POLOP;03|03520
RAFAL;03|03369
EL RÀFOL D'ALMÚNIA;03|03769
REDOVÁN;03|03370
RELLEU;03|03578
ROJALES;03|03170
LA ROMANA;03|03669
SAGRA;03|03795
SALINAS;03|03409,03638,03658
SANET Y NEGRALS;03|03769
SAN FULGENCIO;03|03177
SANT JOAN D'ALACANT;03|03550
SAN MIGUEL DE SALINAS;03|03193
SANTA POLA;03|03130
SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;03|03690
SAX;03|03630
SELLA;03|03579
SENIJA;03|03729
TÀRBENA;03|03518
TEULADA;03|03724,03725
TIBI;03|03109
TOLLOS;03|03813
TORMOS;03|03795
TORREMANZANAS/LA TORRE DE LES MAÇANES;03|03108
TORREVIEJA;03|03180,03181,03182,03183,03184,03185,03186,03188
LA VALL D'ALCALÀ;03|03788
LA VALL D'EBO;03|03789
VALL DE GALLINERA;03|03787,03788
LA VALL DE LAGUAR;03|03791
EL VERGER;03|03770
VILLAJOYOSA/LA VILA JOIOSA;03|03570
VILLENA;03|03400,03408,03409,03639
ELS POBLETS;03|03779
PILAR DE LA HORADADA;03|03190,03191
LOS MONTESINOS;03|03187
SAN ISIDRO;03|03349
ABLA;04|04510
ABRUCENA;04|04520,04533
ADRA;04|04770,04778,04779
ALBÁNCHEZ;04|04857,04858
ALBOLODUY;04|04531,04558
ALBOX;04|04600,04692,04800,04812,04813,04814
ALCOLEA;04|04480,04768
ALCÓNTAR;04|04897,04898
ALCUDIA DE MONTEAGUD;04|04276
ALHABIA;04|04567
ALHAMA DE ALMERÍA;04|04400
ALICÚN;04|04409
ALMERÍA;04|04001,04002,04003,04004,04005,04006,04007,04008,04009,04120,04130,04131,04150,04160
ALMÓCITA;04|04458
ALSODUX;04|04568
ANTAS;04|04628,04629
ARBOLEAS;04|04660
ARMUÑA DE ALMANZORA;04|04888
BACARES;04|04889
BAYÁRCAL;04|04479,04779
BAYARQUE;04|04888
BÉDAR;04|04288,04289
BEIRES;04|04458
BENAHADUX;04|04410
BENITAGLA;04|04276
BENIZALÓN;04|04274,04276
BENTARIQUE;04|04569
BERJA;04|04713,04760,04768,04769
CANJÁYAR;04|04450
CANTORIA;04|04815,04850,04858
CARBONERAS;04|04140,04149
CASTRO DE FILABRES;04|04212
CÓBDAR;04|04859
CUEVAS DEL ALMANZORA;04|04610,04616,04617,04618,04619,04647,04648
CHERCOS;04|04859
CHIRIVEL;04|04825
DALÍAS;04|04750
ENIX;04|04729
FELIX;04|04728
FINES;04|04869
FIÑANA;04|04500
FONDÓN;04|04460,04479
GÁDOR;04|04560
LOS GALLARDOS;04|04280,04288,04289
GARRUCHA;04|04630
GÉRGAL;04|04549,04550,04558,04559
HUÉCIJA;04|04409
HUÉRCAL DE ALMERÍA;04|04230
HUÉRCAL-OVERA;04|04600,04662,04690,04691,04692,04693,04694,04964
ÍLLAR;04|04431
INSTINCIÓN;04|04430
LAROYA;04|04868
LÁUJAR DE ANDARAX;04|04470
LÍJAR;04|04859
LUBRÍN;04|04271
LUCAINENA DE LAS TORRES;04|04114,04210,04211
LÚCAR;04|04877,04887
MACAEL;04|04867
MARÍA;04|04838,04839
MOJÁCAR;04|04638,04639
NACIMIENTO;04|04540
NÍJAR;04|04100,04110,04113,04114,04115,04116,04117,04118,04119,04147,04149,04151,04188
OHANES;04|04459
OLULA DE CASTRO;04|04212
OLULA DEL RÍO;04|04860
ORIA;04|04640,04810,04811,04813,04899
PADULES;04|04458
PARTALOA;04|04810
PATERNA DEL RÍO;04|04479,04779
PECHINA;04|04250,04259
PULPÍ;04|04640,04647,04648,04649
PURCHENA;04|04870
RÁGOL;04|04440
RIOJA;04|04260
ROQUETAS DE MAR;04|04720,04740,04741,04743
SANTA CRUZ DE MARCHENA;04|04568
SANTA FE DE MONDÚJAR;04|04420
SENÉS;04|04213
SERÓN;04|04890,04897,04898,04899
SIERRO;04|04878
SOMONTÍN;04|04877
SORBAS;04|04149,04248,04270,04271,04277,04278,04279,04289
SUFLÍ;04|04878
TABERNAS;04|04200,04211
TABERNO;04|04661,04692
TAHAL;04|04275,04279
TERQUE;04|04569,04659
TÍJOLA;04|04275,04880,04887,04889
TURRE;04|04639
TURRILLAS;04|04211
ULEILA DEL CAMPO;04|04274,04279
URRÁCAL;04|04879
VELEFIQUE;04|04212
VÉLEZ-BLANCO;04|04829,04830,04839
VÉLEZ-RUBIO;04|04820,04826,04827,04828,04829
VERA;04|04620
VIATOR;04|04240
VÍCAR;04|04727,04738
ZURGENA;04|04650,04661,04662
LAS TRES VILLAS;04|04530,04532
EL EJIDO;04|04700,04710,04711,04712,04715,04716
LA MOJONERA;04|04745,04746
ADANERO;05|05296
LA ADRADA;05|05430
ALBORNOS;05|05358
ALDEANUEVA DE SANTA CRUZ;05|05580
ALDEASECA;05|05212
LA ALDEHUELA;05|05593
AMAVIDA;05|05560
EL ARENAL;05|05416
ARENAS DE SAN PEDRO;05|05400,05418
AREVALILLO;05|05153
ARÉVALO;05|05200
AVEINTE;05|05340,05357
AVELLANEDA;05|05580
ÁVILA;05|05001,05002,05003,05004,05005,05160,05194,05195,05197
EL BARCO DE ÁVILA;05|05600
EL BARRACO;05|05110,05278
BARROMÁN;05|05229
BECEDAS;05|05610,05694
BECEDILLAS;05|05153
BERCIAL DE ZAPARDIEL;05|05229
LAS BERLANAS;05|05162
BERNUY-ZAPARDIEL;05|05211
BERROCALEJO DE ARAGONA;05|05194
BLASCOMILLÁN;05|05146,05380
BLASCONUÑO DE MATACABRAS;05|05299
BLASCOSANCHO;05|05290
EL BOHODÓN;05|05165
BOHOYO;05|05630,05690
BONILLA DE LA SIERRA;05|05514,05570
BRABOS;05|05357
BULARROS;05|05140,05340
BURGOHONDO;05|05113,05513
CABEZAS DE ALAMBRE;05|05217
CABEZAS DEL POZO;05|05211
CABEZAS DEL VILLAR;05|05148
CABIZUELA;05|05165
CANALES;05|05212
CANDELEDA;00|00548
CANDELEDA;05|05480,05489
CANTIVEROS;05|05211
CARDEÑOSA;05|05320
LA CARRERA;05|05620,05516
CASAS DEL PUERTO;05|05571
CASASOLA;05|05140
CASAVIEJA;05|05450
CASILLAS;05|05428,05429
CASTELLANOS DE ZAPARDIEL;05|05229
CEBREROS;05|05260
CEPEDA LA MORA;05|05132
CILLÁN;05|05149
CISLA;05|05211
LA COLILLA;05|05192
COLLADO DE CONTRERAS;05|05309
COLLADO DEL MIRÓN;05|05153
CONSTANZANA;05|05217
CRESPOS;05|05300,05309
CUEVAS DEL VALLE;05|05414
CHAMARTÍN;05|05141
DONJIMENO;05|05217
DONVIDAS;05|05215,05125
ESPINOSA DE LOS CABALLEROS;05|05296
FLORES DE ÁVILA;05|05370
FONTIVEROS;05|05310
FRESNEDILLA;05|05427
EL FRESNO;05|05197
FUENTE EL SAÚZ;05|05212
FUENTES DE AÑO;05|05212
GALLEGOS DE ALTAMIROS;05|05141
GALLEGOS DE SOBRINOS;05|05147
GARGANTA DEL VILLAR;05|05134
GAVILANES;05|05460,05640
GEMUÑO;05|05197
GILBUENA;05|05619
GIL GARCÍA;05|05693
GIMIALCÓN;05|05380
GOTARRENDURA;05|05163
GRANDES Y SAN MARTÍN;05|05357
GUISANDO;05|05417
GUTIERRE-MUÑOZ;05|05296
HERNANSANCHO;05|05164
HERRADÓN DE PINARES;05|05196,05268,05294
HERREROS DE SUSO;05|05146
HIGUERA DE LAS DUEÑAS;05|05427
LA HIJA DE DIOS;05|05131
LA HORCAJADA;05|05695,05696
HORCAJO DE LAS TORRES;05|05210
EL HORNILLO;05|05415
HOYOCASERO;05|05123
EL HOYO DE PINARES;05|05250
HOYORREDONDO;05|05516
HOYOS DEL COLLADO;05|05634
HOYOS DEL ESPINO;05|05364,05634
HOYOS DE MIGUEL MUÑOZ;05|05132
HURTUMPASCUAL;05|05147
JUNCIANA;05|05694
LANGA;05|05213
LANZAHÍTA;05|05490
EL LOSAR DEL BARCO;05|05692
LOS LLANOS DE TORMES;05|05690
MADRIGAL DE LAS ALTAS TORRES;05|05220
MAELLO;05|05291
MALPARTIDA DE CORNEJA;05|05153
MAMBLAS;05|05298
MANCERA DE ARRIBA;05|05146
MANJABÁLAGO Y ORTIGOSA DE RIOALMAR;05|05145
MARLÍN;05|05140
MARTIHERRERO;05|05140
MARTÍNEZ;05|05151,05152
MEDIANA DE VOLTOYA;05|05194
MEDINILLA;05|05619
MENGAMUÑOZ;05|05131
MESEGAR DE CORNEJA;05|05514
MIJARES;05|05461
MINGORRÍA;05|05161,05280
EL MIRÓN;05|05153,05154
MIRONCILLO;05|05191
MIRUEÑA DE LOS INFANZONES;05|05146
MOMBELTRÁN;05|05410,05491
MONSALUPE;05|05163
MORALEJA DE MATACABRAS;05|05299
MUÑANA;05|05540
MUÑICO;05|05145
MUÑOGALINDO;05|05530
MUÑOGRANDE;05|05309,05357
MUÑOMER DEL PECO;05|05358
MUÑOPEPE;05|05192
MUÑOSANCHO;05|05380
MUÑOTELLO;05|05560
NARRILLOS DEL ÁLAMO;05|05154
NARRILLOS DEL REBOLLAR;05|05141
NARROS DEL CASTILLO;05|05370
NARROS DEL PUERTO;05|05131
NARROS DE SALDUEÑA;05|05358
NAVACEPEDILLA DE CORNEJA;05|05571
NAVA DE ARÉVALO;05|05216
NAVA DEL BARCO;05|05697
NAVADIJOS;05|05134
NAVAESCURIAL;05|05514
NAVAHONDILLA;05|05429,05114
NAVALACRUZ;05|05134
NAVALMORAL;05|05120
NAVALONGUILLA;05|05697
NAVALOSA;05|05123
NAVALPERAL DE PINARES;05|05240
NAVALPERAL DE TORMES;05|05631,05632
NAVALUENGA;05|05100
NAVAQUESERA;05|05122
NAVARREDONDA DE GREDOS;05|05635
NAVARREDONDILLA;05|05120
NAVARREVISCA;05|05115
LAS NAVAS DEL MARQUÉS;05|05230,05239
NAVATALGORDO;05|05122
NAVATEJARES;05|05697
NEILA DE SAN MIGUEL;05|05619
NIHARRA;05|05191
OJOS-ALBOS;05|05193
ORBITA;05|05296
EL OSO;05|05164
PADIERNOS;05|05520
PAJARES DE ADAJA;05|05292
PALACIOS DE GODA;05|05215
PAPATRIGO;05|05358
EL PARRAL;05|05146
PASCUALCOBO;05|05150
PEDRO BERNARDO;05|05470
PEDRO-RODRÍGUEZ;05|05165
PEGUERINOS;05|05239
PEÑALBA DE ÁVILA;05|05163
PIEDRAHÍTA;05|05500,05515
PIEDRALAVES;05|05440,05540
POVEDA;05|05560
POYALES DEL HOYO;05|05492,05198
POZANCO;05|05292
PRADOSEGAR;05|05560
PUERTO CASTILLA;05|05621
RASUEROS;05|05298
RIOCABADO;05|05150,05164
RIOFRÍO;05|05190
RIVILLA DE BARAJAS;05|05309
SALOBRAL;05|05520
SALVADIÓS;05|05380
SAN BARTOLOMÉ DE BÉJAR;05|05619
SAN BARTOLOMÉ DE CORNEJA;05|05516
SAN BARTOLOMÉ DE PINARES;05|05267
SANCHIDRIÁN;05|05290
SANCHORREJA;05|05141
SAN ESTEBAN DE LOS PATOS;05|05289
SAN ESTEBAN DEL VALLE;05|05412
SAN ESTEBAN DE ZAPARDIEL;05|05229
SAN GARCÍA DE INGELMOS;05|05146
SAN JUAN DE LA ENCINILLA;05|05210,05358
SAN JUAN DE LA NAVA;05|05111
SAN JUAN DEL MOLINILLO;05|05120
SAN JUAN DEL OLMO;05|05145
SAN LORENZO DE TORMES;05|05696
SAN MARTÍN DE LA VEGA DEL ALBERCHE;05|05133
SAN MARTÍN DEL PIMPOLLAR;05|05132
SAN MIGUEL DE CORNEJA;05|05514
SAN MIGUEL DE SERREZUELA;05|05150
SAN PASCUAL;05|05164
SAN PEDRO DEL ARROYO;05|05350
SANTA CRUZ DEL VALLE;05|05413
SANTA CRUZ DE PINARES;05|05268
SANTA MARÍA DEL ARROYO;05|05530
SANTA MARÍA DEL BERROCAL;05|05510,05511
SANTA MARÍA DE LOS CABALLEROS;05|05580,05581
SANTA MARÍA DEL TIÉTAR;05|05429
SANTIAGO DEL COLLADO;05|05592
SANTO DOMINGO DE LAS POSADAS;05|05292
SANTO TOMÉ DE ZABARCOS;05|05357
SAN VICENTE DE ARÉVALO;05|05217
LA SERRADA;05|05192
SERRANILLOS;05|05115,05116
SIGERES;05|05357
SINLABAJOS;05|05215
SOLANA DE ÁVILA;05|05621,05691
SOLANA DE RIOALMAR;05|05149
SOLOSANCHO;05|05130
SOTALBO;05|05198
SOTILLO DE LA ADRADA;05|05420
EL TIEMBLO;05|05170,05270,05278,05279
TIÑOSILLOS;05|05165
TOLBAÑOS;05|05289,05298
TORMELLAS;05|05697
TORNADIZOS DE ÁVILA;05|05196
TÓRTOLES;05|05514
LA TORRE;05|05520,05540
UMBRÍAS;05|05693
VADILLO DE LA SIERRA;05|05560
VALDECASA;05|05143
VEGA DE SANTA MARÍA;05|05292
VELAYOS;05|05292
VILLAFLOR;05|05357
VILLAFRANCA DE LA SIERRA;05|05571
VILLANUEVA DE GÓMEZ;05|05164
VILLANUEVA DEL ACERAL;05|05212
VILLANUEVA DEL CAMPILLO;05|05591
VILLAR DE CORNEJA;05|05516
VILLAREJO DEL VALLE;05|05413
VILLATORO;05|05560
VIÑEGRA DE MORAÑA;05|05309
VITA;05|05146
ZAPARDIEL DE LA CAÑADA;05|05154
ZAPARDIEL DE LA RIBERA;05|05631
SAN JUAN DE GREDOS;05|05632,05633
SANTA MARÍA DEL CUBILLO;05|05193
DIEGO DEL CARPIO;05|05151
SANTIAGO DEL TORMES;05|05630
VILLANUEVA DE ÁVILA;05|05114
ACEDERA;06|06713,06730
ACEUCHAL;06|06207,06410
AHILLONES;06|06940
ALANGE;06|06840
LA ALBUERA;06|06170
ALBURQUERQUE;06|06510,06519
ALCONCHEL;06|06131
ALCONERA;06|06393
ALJUCÉN;06|06894
ALMENDRAL;06|06171
ALMENDRALEJO;06|06200
ARROYO DE SAN SERVÁN;06|06850
ATALAYA;06|06329,06009
AZUAGA;06|06920,06929
BADAJOZ;06|06001,06002,06003,06004,06005,06006,06007,06008,06009,06010,06011,06170,06180,06181,06182,06183,06193,06194,06195,06800
BARCARROTA;06|06160
BATERNO;06|06659
BENQUERENCIA DE LA SERENA;06|06428,06429,06613,06615
BERLANGA;06|06930
BIENVENIDA;06|06250,06020
BODONAL DE LA SIERRA;06|06394
BURGUILLOS DEL CERRO;06|06370
CABEZA DEL BUEY;06|06600,06614
CABEZA LA VACA;06|06293
CALAMONTE;06|06810
CALERA DE LEÓN;06|06292
CALZADILLA DE LOS BARROS;06|06249
CAMPANARIO;06|06459,06460
CAMPILLO DE LLERENA;06|06443
CAPILLA;06|06612
CARMONITA;06|06249,06488
EL CARRASCALEJO;06|06894
CASAS DE DON PEDRO;06|06770
CASAS DE REINA;06|06960
CASTILBLANCO;06|06680
CASTUERA;06|06420
LA CODOSERA;06|06518
CORDOBILLA DE LÁCARA;06|06487
LA CORONADA;06|06469
CORTE DE PELEAS;06|06196
CRISTINA;06|06479
CHELES;06|06105
DON ÁLVARO;06|06820
DON BENITO;06|06400,06410,06412,06711,06717
ENTRÍN BAJO;06|06197
ESPARRAGALEJO;06|06860
ESPARRAGOSA DE LA SERENA;06|06439
ESPARRAGOSA DE LARES;06|06620
FERIA;06|06390
FREGENAL DE LA SIERRA;06|06340
FUENLABRADA DE LOS MONTES;06|06660
FUENTE DE CANTOS;06|06240
FUENTE DEL ARCO;06|06980
FUENTE DEL MAESTRE;06|06360
FUENTES DE LEÓN;06|06280
GARBAYUELA;06|06690
GARLITOS;06|06656
LA GARROVILLA;06|06870
GRANJA DE TORREHERMOSA;06|06910
GUAREÑA;06|06410,06470
LA HABA;06|06174,06714
HELECHOSA DE LOS MONTES;06|06692
HERRERA DEL DUQUE;06|06670,06679
HIGUERA DE LA SERENA;06|06441
HIGUERA DE LLERENA;06|06445
HIGUERA DE VARGAS;06|06132
HIGUERA LA REAL;06|06350
HINOJOSA DEL VALLE;06|06226
HORNACHOS;06|06228
JEREZ DE LOS CABALLEROS;06|06380,06389
LA LAPA;06|06391
LOBÓN;06|06187,06498
LLERA;06|06227
LLERENA;06|06900
MAGACELA;06|06468
MAGUILLA;06|06939
MALCOCINADO;06|06928
MALPARTIDA DE LA SERENA;06|06440
MANCHITA;06|06478
MEDELLÍN;06|06411
MEDINA DE LAS TORRES;06|06320
MENGABRIL;06|06413
MÉRIDA;06|06800
MIRANDILLA;06|06891
MONESTERIO;06|06260
MONTEMOLÍN;06|06291,06907,06908
MONTERRUBIO DE LA SERENA;06|06427
MONTIJO;06|06480,06489,06499
LA MORERA;06|06176
LA NAVA DE SANTIAGO;06|06486
NAVALVILLAR DE PELA;06|06730,06731,06760
NOGALES;06|06173
OLIVA DE LA FRONTERA;06|06120
OLIVA DE MÉRIDA;06|06475
OLIVENZA;06|06100,06106,06107,06108,06109,06400
ORELLANA DE LA SIERRA;06|06750
ORELLANA LA VIEJA;06|06740
PALOMAS;06|06476
LA PARRA;06|06176
PEÑALSORDO;06|06610
PERALEDA DEL ZAUCEJO;06|06919
PUEBLA DE ALCOCER;06|06630
PUEBLA DE LA CALZADA;06|06490
PUEBLA DE LA REINA;06|06477
PUEBLA DEL MAESTRE;06|06906
PUEBLA DEL PRIOR;06|06229
PUEBLA DE OBANDO;06|06191
PUEBLA DE SANCHO PÉREZ;06|06310,06392
QUINTANA DE LA SERENA;06|06450
REINA;06|06970
RENA;06|06715
RETAMAL DE LLERENA;06|06442
RIBERA DEL FRESNO;06|06225
RISCO;06|06657
LA ROCA DE LA SIERRA;06|06190
SALVALEÓN;06|06174
SALVATIERRA DE LOS BARROS;06|06175
SAN PEDRO DE MÉRIDA;06|06893
SANTA AMALIA;06|06410
SANTA MARTA;06|06150
LOS SANTOS DE MAIMONA;06|06230
SAN VICENTE DE ALCÁNTARA;06|06500
SEGURA DE LEÓN;06|06270
SIRUELA;06|06650
SOLANA DE LOS BARROS;06|06196,06198,06209
TALARRUBIAS;06|06640
TALAVERA LA REAL;06|06140
TÁLIGA;06|06133
TAMUREJO;06|06658
TORRE DE MIGUEL SESMERO;06|06172
TORREMAYOR;06|06880
TORREMEJÍA;06|06210
TRASIERRA;06|06909
TRUJILLANOS;06|06892
USAGRE;06|06290
VALDECABALLEROS;06|06689
VALDETORRES;06|06474
VALENCIA DE LAS TORRES;06|06444
VALENCIA DEL MOMBUEY;06|06134
VALENCIA DEL VENTOSO;06|06330
VALVERDE DE BURGUILLOS;06|06378
VALVERDE DE LEGANÉS;06|06130
VALVERDE DE LLERENA;06|06927
VALVERDE DE MÉRIDA;06|06890
VALLE DE LA SERENA;06|06458
VALLE DE MATAMOROS;06|06177
VALLE DE SANTA ANA;06|06178
VILLAFRANCA DE LOS BARROS;06|06220
VILLAGARCÍA DE LA TORRE;06|06950
VILLAGONZALO;06|06473
VILLALBA DE LOS BARROS;06|06208
VILLANUEVA DE LA SERENA;06|06700,06710,06712,06718,06720
