qid|tags
Q428459|['best_climate', 'most_friendly_locals', 'least_crime', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'bird_watching', 'hipster', 'retire', 'socialize', 'beautiful_nature']
Q33672872|['best_climate', 'most_friendly_locals', 'least_crime', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'bird_watching', 'hipster', 'retire', 'socialize', 'beautiful_nature']
Q1648341|['most_friendly_locals', 'bird_watching', 'hipster', 'beautiful_nature']
Q275862|['most_friendly_locals', 'most_friendly_locals', 'good_food', 'beautiful_nature', 'beautiful_nature']
Q190187|['most_friendly_locals', 'most_friendly_locals', 'best_for_expats', 'best_beaches', 'hipster', 'socialize', 'socialize', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q33716124|['most_friendly_locals', 'most_friendly_locals', 'best_for_expats', 'best_beaches', 'hipster', 'socialize', 'socialize', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q497179|['most_friendly_locals', 'most_friendly_locals', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'hipster', 'beautiful_nature']
Q2652697|['most_friendly_locals', 'most_friendly_locals', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'hipster', 'beautiful_nature']
Q112188973|['most_friendly_locals', 'most_friendly_locals', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'hipster', 'beautiful_nature']
Q413329|['most_friendly_locals', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'beautiful_nature']
Q941967|['most_friendly_locals', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'beautiful_nature']
Q25444872|['most_friendly_locals', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'beautiful_nature']
Q49360358|['most_friendly_locals', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'good_food', 'best_beaches', 'beautiful_nature']
Q1351868|['most_friendly_locals', 'good_for_sailing', 'good_for_surfing', 'best_beaches']
Q33805603|['most_friendly_locals', 'good_for_sailing', 'good_for_surfing', 'best_beaches']
Q986419|['most_friendly_locals', 'skiing', 'beautiful_nature']
Q1074623|['most_friendly_locals', 'skiing', 'beautiful_nature']
Q49286398|['most_friendly_locals', 'skiing', 'beautiful_nature']
Q917319|['most_friendly_locals']
Q191135|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_for_sailing', 'good_for_surfing', 'good_food', 'socialize', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q917313|['most_friendly_locals', 'on_island', 'good_english', 'hipster', 'good_business', 'good_for_families', 'beautiful_nature']
Q1998360|['most_friendly_locals', 'on_island', 'good_english', 'hipster', 'good_business', 'good_for_families', 'beautiful_nature']
Q200459|['most_friendly_locals', 'good_for_surfing', 'good_for_families', 'beautiful_nature']
Q980072|['most_friendly_locals', 'for_young_people']
Q990403|['most_friendly_locals', 'for_young_people']
Q1997588|['most_friendly_locals', 'for_young_people']
Q49286420|['most_friendly_locals', 'for_young_people']
Q551658|['most_friendly_locals', 'good_food']
Q1999105|['most_friendly_locals', 'good_food']
Q379372|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'best_for_expats', 'good_food', 'no_mosquitos', 'socialize', 'skydiving', 'beautiful_nature']
Q503856|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'best_for_expats', 'good_food', 'no_mosquitos', 'socialize', 'skydiving', 'beautiful_nature']
Q3349006|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'best_for_expats', 'good_food', 'no_mosquitos', 'socialize', 'skydiving', 'beautiful_nature']
Q117676|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'no_mosquitos', 'skydiving', 'good_business']
Q273525|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'no_mosquitos', 'skydiving', 'good_business']
Q28677351|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'no_mosquitos', 'skydiving', 'good_business']
Q49278409|['most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'no_mosquitos', 'skydiving', 'good_business']
Q569929|['best_schools', 'clean']
Q2440871|['best_schools', 'clean']
Q426953|['best_schools']
Q1915481|['best_schools']
Q31887734|['best_schools']
Q551048|['best_schools', 'good_internet', 'good_healthcare', 'camping']
Q1998324|['best_schools', 'good_internet', 'good_healthcare', 'camping']
Q861199|['best_schools', 'least_crime', 'good_healthcare', 'skiing', 'camping']
Q1997747|['best_schools', 'least_crime', 'good_healthcare', 'skiing', 'camping']
Q1000052|['best_schools', 'least_crime', 'live_well_without_car', 'good_healthcare', 'clean', 'camping']
Q1135661|['best_schools', 'least_crime', 'live_well_without_car', 'good_healthcare', 'clean', 'camping']
Q1984420|['best_schools', 'least_crime', 'live_well_without_car', 'good_healthcare', 'clean', 'camping']
Q49282137|['best_schools', 'least_crime', 'live_well_without_car', 'good_healthcare', 'clean', 'camping']
Q243849|['best_schools', 'least_crime', 'live_well_without_car', 'good_healthcare', 'clean', 'good_english', 'bird_watching', 'skiing', 'hipster', 'camping', 'good_for_families']
Q249827|['least_crime']
Q249840|['least_crime']
Q33881301|['least_crime']
Q1870321|['least_crime', 'low_cost_of_living_high_life_quality', 'good_internet', 'clean']
Q31877247|['least_crime', 'low_cost_of_living_high_life_quality', 'good_internet', 'clean']
Q850697|['least_crime', 'interesting_historic_buildings', 'retire']
Q33658754|['least_crime', 'interesting_historic_buildings', 'retire']
Q651997|['least_crime', 'retire']
Q3344440|['least_crime', 'retire']
Q988830|['least_crime', 'good_internet']
Q31878333|['least_crime', 'good_internet']
Q385202|['least_crime']
Q551059|['least_crime']
Q455012|['least_crime']
Q1916768|['least_crime']
Q395919|['least_crime', 'interesting_historic_buildings', 'good_internet']
Q490302|['least_crime', 'interesting_historic_buildings', 'skiing', 'camping']
Q1022205|['least_crime', 'interesting_historic_buildings', 'skiing', 'camping']
Q31887240|['least_crime', 'interesting_historic_buildings', 'skiing', 'camping']
Q565302|['least_crime', 'good_internet', 'camping']
Q1946349|['least_crime', 'good_internet', 'camping']
Q426945|['least_crime', 'good_internet']
Q1998335|['least_crime', 'good_internet']
Q49281726|['least_crime', 'good_internet']
Q796938|['least_crime']
Q20061621|['least_crime']
Q63378478|['least_crime']
Q861464|['least_crime', 'live_well_without_car', 'clean']
Q1926580|['least_crime', 'live_well_without_car', 'clean']
Q381337|['least_crime', 'good_healthcare', 'clean']
Q449596|['live_well_without_car']
Q470929|['live_well_without_car', 'bird_watching']
Q2258758|['live_well_without_car', 'bird_watching']
Q32672|['live_well_without_car']
Q699845|['live_well_without_car']
Q4069891|['live_well_without_car']
Q4795977|['live_well_without_car']
Q31889400|['live_well_without_car']
Q93885|['live_well_without_car']
Q31914083|['live_well_without_car']
Q513172|['live_well_without_car', 'clean', 'good_for_families']
Q986021|['live_well_without_car', 'clean', 'good_for_families']
Q33661928|['live_well_without_car', 'clean', 'good_for_families']
Q1022045|['live_well_without_car']
Q64446|['live_well_without_car', 'clean']
Q250648|['live_well_without_car']
Q1016625|['live_well_without_car']
Q2206845|['live_well_without_car']
Q2258051|['live_well_without_car']
Q34789702|['live_well_without_car']
Q224591|['live_well_without_car', 'clean']
Q1010915|['live_well_without_car', 'clean', 'good_english', 'bird_watching']
Q1046208|['live_well_without_car', 'clean', 'good_english', 'bird_watching']
Q1046217|['live_well_without_car', 'clean', 'good_english', 'bird_watching']
Q33796235|['live_well_without_car', 'clean', 'good_english', 'bird_watching']
Q34790175|['live_well_without_car', 'clean', 'good_english', 'bird_watching']
Q194949|['live_well_without_car']
Q33798404|['live_well_without_car']
Q932453|['live_well_without_car']
Q1107623|['live_well_without_car']
Q34795983|['live_well_without_car']
Q1005138|['live_well_without_car', 'clean', 'bird_watching', 'skiing', 'good_for_families']
Q1024473|['live_well_without_car']
Q1285681|['live_well_without_car']
Q1407807|['live_well_without_car']
Q49350135|['live_well_without_car']
Q397900|['low_cost_of_living_high_life_quality', 'good_internet']
Q189166|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_internet', 'good_for_sailing', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q31880872|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_internet', 'good_for_sailing', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q217394|['low_cost_of_living_high_life_quality', 'job_opportunities', 'good_for_sailing', 'good_business', 'for_young_people']
Q2392504|['low_cost_of_living_high_life_quality', 'job_opportunities', 'good_for_sailing', 'good_business', 'for_young_people']
Q31911550|['low_cost_of_living_high_life_quality', 'job_opportunities', 'good_for_sailing', 'good_business', 'for_young_people']
Q597|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_for_sailing', 'good_food', 'best_beaches', 'good_english', 'no_mosquitos', 'bird_watching', 'socialize', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q207199|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_for_sailing', 'good_food', 'best_beaches', 'good_english', 'no_mosquitos', 'bird_watching', 'socialize', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q33690701|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_for_sailing', 'good_food', 'best_beaches', 'good_english', 'no_mosquitos', 'bird_watching', 'socialize', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q43187878|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_for_sailing', 'good_food', 'best_beaches', 'good_english', 'no_mosquitos', 'bird_watching', 'socialize', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q225189|['low_cost_of_living_high_life_quality', 'job_opportunities', 'good_healthcare', 'good_english', 'no_mosquitos', 'hipster', 'skydiving', 'good_for_families', 'beautiful_nature']
Q622819|['low_cost_of_living_high_life_quality', 'job_opportunities', 'good_healthcare', 'good_english', 'no_mosquitos', 'hipster', 'skydiving', 'good_for_families', 'beautiful_nature']
Q49278076|['low_cost_of_living_high_life_quality', 'job_opportunities', 'good_healthcare', 'good_english', 'no_mosquitos', 'hipster', 'skydiving', 'good_for_families', 'beautiful_nature']
Q36433|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people']
Q322792|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people']
Q244510|['low_cost_of_living_high_life_quality', 'no_mosquitos', 'skydiving', 'good_for_families']
Q273877|['low_cost_of_living_high_life_quality', 'no_mosquitos', 'skydiving', 'good_for_families']
Q173699|['low_cost_of_living_high_life_quality', 'job_opportunities', 'no_mosquitos', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q274109|['low_cost_of_living_high_life_quality', 'job_opportunities', 'no_mosquitos', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q3344648|['low_cost_of_living_high_life_quality', 'job_opportunities', 'no_mosquitos', 'socialize', 'skydiving', 'good_business', 'for_young_people']
Q208158|['low_cost_of_living_high_life_quality', 'best_for_expats', 'good_food', 'no_mosquitos', 'skydiving', 'for_young_people', 'beautiful_nature']
Q326214|['low_cost_of_living_high_life_quality', 'best_for_expats', 'good_food', 'no_mosquitos', 'skydiving', 'for_young_people', 'beautiful_nature']
Q49278394|['low_cost_of_living_high_life_quality', 'best_for_expats', 'good_food', 'no_mosquitos', 'skydiving', 'for_young_people', 'beautiful_nature']
Q25263|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_beaches', 'on_island', 'no_mosquitos', 'retire', 'skydiving', 'good_business']
Q4058447|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_beaches', 'on_island', 'no_mosquitos', 'retire', 'skydiving', 'good_business']
Q25444120|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_beaches', 'on_island', 'no_mosquitos', 'retire', 'skydiving', 'good_business']
Q26253|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_beaches', 'on_island', 'no_mosquitos', 'retire', 'skydiving', 'good_business']
Q23978|['low_cost_of_living_high_life_quality', 'skydiving']
Q25444121|['low_cost_of_living_high_life_quality', 'skydiving']
Q27320|['low_cost_of_living_high_life_quality', 'on_island']
Q33842554|['low_cost_of_living_high_life_quality', 'on_island']
Q208149|['low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_english', 'bird_watching', 'socialize', 'skydiving', 'good_business']
